time,A's ID,B's ID,A Clicks,B Clicks,Looking at A's piece,Looking at B's piece
2015-04-14 10:33:23.362000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:23.464000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:23.562000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:23.661000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:23.828000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:23.927000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:24.029000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:24.127000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:24.227000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:24.327000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:24.427000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:24.527000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
