Test at 5/7/2015 5:15:10 PM,

Client Num: ,31, X_Received: ,972, Y_Received: ,473,Time: ,2015-05-07 17:15:30.242
Client Num:, 31, X: ,122, Y: ,595,Time: ,2015-05-07 17:15:30.343
Client Num: ,31, X_Received: ,1215, Y_Received: ,607,Time: ,2015-05-07 17:15:30.343
Client Num:, 31, X: ,105, Y: ,602,Time: ,2015-05-07 17:15:30.443
Client Num: ,31, X_Received: ,1222, Y_Received: ,610,Time: ,2015-05-07 17:15:30.443
Client Num:, 31, X: ,87, Y: ,607,Time: ,2015-05-07 17:15:30.542
Client Num: ,31, X_Received: ,1234, Y_Received: ,626,Time: ,2015-05-07 17:15:30.542
Client Num:, 31, X: ,70, Y: ,604,Time: ,2015-05-07 17:15:30.642
Client Num: ,31, X_Received: ,1232, Y_Received: ,634,Time: ,2015-05-07 17:15:30.642
Client Num:, 31, X: ,54, Y: ,600,Time: ,2015-05-07 17:15:30.741
Client Num: ,31, X_Received: ,1486, Y_Received: ,735,Time: ,2015-05-07 17:15:30.741
Client Num:, 31, X: ,42, Y: ,597,Time: ,2015-05-07 17:15:30.841
Client Num: ,31, X_Received: ,1514, Y_Received: ,740,Time: ,2015-05-07 17:15:30.841
Client Num:, 31, X: ,32, Y: ,592,Time: ,2015-05-07 17:15:30.942
Client Num: ,31, X_Received: ,1568, Y_Received: ,762,Time: ,2015-05-07 17:15:30.942
Client Num:, 31, X: ,25, Y: ,578,Time: ,2015-05-07 17:15:31.042
Client Num: ,31, X_Received: ,1582, Y_Received: ,775,Time: ,2015-05-07 17:15:31.042
Client Num:, 31, X: ,2, Y: ,644,Time: ,2015-05-07 17:15:31.141
Client Num: ,31, X_Received: ,1588, Y_Received: ,779,Time: ,2015-05-07 17:15:31.141
Client Num:, 31, X: ,-24, Y: ,632,Time: ,2015-05-07 17:15:31.241
Client Num: ,31, X_Received: ,1590, Y_Received: ,780,Time: ,2015-05-07 17:15:31.241
Client Num:, 31, X: ,-23, Y: ,630,Time: ,2015-05-07 17:15:31.341
Client Num: ,31, X_Received: ,1586, Y_Received: ,779,Time: ,2015-05-07 17:15:31.341
Client Num:, 31, X: ,-23, Y: ,631,Time: ,2015-05-07 17:15:31.441
Client Num: ,31, X_Received: ,1580, Y_Received: ,774,Time: ,2015-05-07 17:15:31.441
Client Num:, 31, X: ,-24, Y: ,631,Time: ,2015-05-07 17:15:31.541
Client Num: ,31, X_Received: ,1575, Y_Received: ,774,Time: ,2015-05-07 17:15:31.541
Client Num:, 31, X: ,-24, Y: ,632,Time: ,2015-05-07 17:15:31.641
Client Num: ,31, X_Received: ,1571, Y_Received: ,771,Time: ,2015-05-07 17:15:31.641
Client Num:, 31, X: ,-22, Y: ,633,Time: ,2015-05-07 17:15:31.741
Client Num: ,31, X_Received: ,1563, Y_Received: ,769,Time: ,2015-05-07 17:15:31.741
Client Num:, 31, X: ,-23, Y: ,633,Time: ,2015-05-07 17:15:31.843
Client Num: ,31, X_Received: ,1566, Y_Received: ,763,Time: ,2015-05-07 17:15:31.843
Client Num:, 31, X: ,-24, Y: ,634,Time: ,2015-05-07 17:15:31.940
